Family	IDP_057	MPH_008	IDP_053
Clostridiales_Lachnospiraceae_186803	25.25	11.54	12.13
Clostridiales_unclassified-Lachnospiraceae_186928	6.40	3.16	2.09
Clostridiales_environmental-samples_189703	0.23	0.18	0.17
Clostridiales_Ruminococcaceae_541000	15.68	21.93	14.82
Clostridiales_environmental-samples_541002	1.85	1.29	1.21
Clostridiales_unclassified-Ruminococcaceae_2305133	0.91	3.71	1.68
Clostridiales_Ruminococcaceae-incertae-sedis_552397	0.09	0.11	0.14
Clostridiales_Clostridiaceae_31979	7.99	4.81	5.48
Clostridiales_unclassified-Clostridiaceae_189971	0.46	0.15	0.11
Clostridiales_Eubacteriaceae_186806	4.30	3.06	3.04
Clostridiales_unclassified-Eubacteriaceae_207769	0.00	0.00	0.00
Clostridiales_Oscillospiraceae_216572	2.76	8.67	2.64
Clostridiales_unclassified-Oscillospiraceae_473772	0.02	0.07	0.04
Clostridiales_Clostridiales-Family-XIII.-Incertae-Sedis_543314	0.02	0.01	0.40
Clostridiales_unclassified-Clostridiales-Family-XIII.-Incertae-Sedis_1284678	0.02	0.00	0.40
Clostridiales_Peptococcaceae_186807	0.24	0.36	0.04
Clostridiales_environmental-samples_329910	0.21	0.36	0.03
Clostridiales_unclassified-Peptococcaceae_208050	0.03	0.00	0.00
Clostridiales_Catabacteriaceae_424536	0.09	0.12	0.22
Clostridiales_Christensenellaceae_990719	0.01	0.02	0.13
Clostridiales_unclassified-Christensenellaceae_1917874	0.01	0.02	0.13
Clostridiales_Peptostreptococcaceae_186804	0.01	0.02	0.09
Acidaminococcales_Acidaminococcaceae_909930	0.48	0.06	0.49
Veillonellales_Veillonellaceae_31977	0.21	3.13	3.27
Veillonellales_environmental-samples_135094	0.00	0.00	0.00
Selenomonadales_Selenomonadaceae_1843491	0.02	0.01	2.28
Erysipelotrichales_Erysipelotrichaceae_128827	0.55	0.18	1.23
Erysipelotrichales_environmental-samples_134224	0.14	0.05	0.04
Erysipelotrichales_unclassified-Erysipelotrichaceae_544447	0.00	0	0
Lactobacillales_Streptococcaceae_1300	0.05	0.02	0.02
Lactobacillales_Lactobacillaceae_33958	0.02	0.33	0.49
Lactobacillales_Enterococcaceae_81852	0.01	0.00	0.01
Lactobacillales_Leuconostocaceae_81850	0.00	0	0.00
Bacillales_Staphylococcaceae_90964	0.02	0.00	0.01
Bacillales_Bacillaceae_186817	0.00	0.00	0
Tissierellales_Peptoniphilaceae_1570339	0.00	0.00	0.00
Coriobacteriales_Coriobacteriaceae_84107	0.29	7.43	3.58
Coriobacteriales_environmental-samples_331631	0.01	0.02	0.19
Coriobacteriales_Atopobiaceae_1643824	0.03	0.01	0.75
Eggerthellales_Eggerthellaceae_1643826	0.09	0.47	0.42
Eggerthellales_unclassified-Eggerthellaceae_1720314	0.00	0.01	0.01
Bifidobacteriales_Bifidobacteriaceae_31953	0.01	0.02	3.28
Actinomycetales_Actinomycetaceae_2049	0.01	0.14	0.04
Micrococcales_Promicromonosporaceae_85017	0.00	0.00	0.00
Acholeplasmatales_Acholeplasmataceae_2146	0.00	0	0.00
Mycoplasmatales_Mycoplasmataceae_2092	0.02	0.00	0.11
Bacteroidales_Prevotellaceae_171552	16.37	6.89	16.34
Bacteroidales_environmental-samples_224577	0.79	0.04	0.00
Bacteroidales_unclassified-Prevotellaceae_224765	0.00	0.01	0.11
Bacteroidales_Bacteroidaceae_815	3.87	1.21	1.43
Bacteroidales_Rikenellaceae_171550	1.87	3.12	1.72
Bacteroidales_Tannerellaceae_2005525	0.83	1.42	0.16
Bacteroidales_Odoribacteraceae_1853231	0.52	0.09	0.12
Bacteroidales_Barnesiellaceae_2005519	0.26	0.06	0.05
Bacteroidales_Porphyromonadaceae_171551	0.04	0.06	0.02
Bacteroidales_environmental-samples_348577	0.04	0.05	0.02
Bacteroidales_unclassified-Porphyromonadaceae_361210	0.00	0.01	0.00
Bacteroidales_Muribaculaceae_2005473	0.00	0.01	0.00
Verrucomicrobiales_Akkermansiaceae_1647988	1.80	1.08	0.01
Verrucomicrobiales_unclassified-Akkermansiaceae_1951308	0.00	0.00	0
Puniceicoccales_Puniceicoccaceae_415002	0.01	0.32	0.02
Victivallales_Victivallaceae_255528	0.00	0.00	0.04
Burkholderiales_Sutterellaceae_995019	0.79	0.15	0.23
Burkholderiales_Oxalobacteraceae_75682	0.01	0.01	0.02
Desulfovibrionales_Desulfovibrionaceae_194924	0.51	0.02	0.32
Desulfovibrionales_unclassified-Desulfovibrionaceae_231685	0.00	0.00	0.03
Campylobacterales_Campylobacteraceae_72294	0.00	0.00	0
Rhodospirillales_Rhodospirillaceae_41295	0.11	0.00	0.02
Rhodospirillales_Acetobacteraceae_433	0.02	0.00	0.15
Enterobacterales_Enterobacteriaceae_543	0.01	0.08	0.03
Pseudomonadales_Moraxellaceae_468	0.00	0.33	0.00
Pseudomonadales_Pseudomonadaceae_135621	0.00	0.00	0.03
Pasteurellales_Pasteurellaceae_712	0.00	0.00	0.00
Aeromonadales_Succinivibrionaceae_83763	0.00	0.00	2.87
Aeromonadales_environmental-samples_538959	0.00	0.00	0.00
Fusobacteriales_Fusobacteriaceae_203492	0.10	0.00	0.00
Brachyspirales_Brachyspiraceae_143786	0.01	0.00	0.03
Spirochaetales_Spirochaetaceae_137	0.00	0.00	0.00
Synergistales_Synergistaceae_649777	0.00	0.01	0.00
Primates_Hominidae_9604	0.18	0.04	0.07
Primates_Homininae_207598	0.18	0.04	0.07
Methanomassiliicoccales_Methanomassiliicoccaceae_1577788	0.00	0	0
Methanomassiliicoccales_unclassified-Methanomassiliicoccaceae_1712382	0.00	0	0
Methanobacteriales_Methanobacteriaceae_2159	0.04	0.11	0.48
Clostridiales_unclassifiedRuminococcaceae_2305133	0	0	0
Clostridiales_environmentalsamples_541002	0	0	0
Clostridiales_Ruminococcaceaeincertaesedis_552397	0	0	0
Clostridiales_unclassifiedLachnospiraceae_186928	0	0	0
Clostridiales_environmentalsamples_189703	0	0	0
Clostridiales_unclassifiedOscillospiraceae_473772	0	0	0
Clostridiales_unclassifiedClostridiaceae_189971	0	0	0
Clostridiales_unclassifiedEubacteriaceae_207769	0	0	0
Clostridiales_ClostridialesFamilyXIII.IncertaeSedis_543314	0	0	0
Clostridiales_unclassifiedClostridialesFamilyXIII.IncertaeSedis_1284678	0	0	0
Clostridiales_environmentalsamples_329910	0	0	0
Clostridiales_unclassifiedPeptococcaceae_208050	0	0	0
Clostridiales_unclassifiedChristensenellaceae_1917874	0	0	0
Veillonellales_environmentalsamples_135094	0	0	0
Erysipelotrichales_environmentalsamples_134224	0	0	0
Coriobacteriales_environmentalsamples_331631	0	0	0
Eggerthellales_unclassifiedEggerthellaceae_1720314	0	0	0
Micrococcales_Micrococcaceae_1268	0	0.01	0
Micrococcales_Sanguibacteraceae_145360	0	0.00	0.00
Corynebacteriales_Corynebacteriaceae_1653	0	0.00	0.00
Propionibacteriales_Propionibacteriaceae_31957	0	0.00	0.00
Bacteroidales_environmentalsamples_224577	0	0	0
Bacteroidales_unclassifiedPrevotellaceae_224765	0	0	0
Bacteroidales_environmentalsamples_348577	0	0	0
Bacteroidales_unclassifiedPorphyromonadaceae_361210	0	0	0
Verrucomicrobiales_unclassifiedAkkermansiaceae_1951308	0	0	0
Enterobacterales_Yersiniaceae_1903411	0	0.00	0
Aeromonadales_environmentalsamples_538959	0	0	0
Xanthomonadales_Xanthomonadaceae_32033	0	0.00	0.01
Desulfovibrionales_unclassifiedDesulfovibrionaceae_231685	0	0	0
Selenomonadales_unclassified-Selenomonadaceae_1953020	0	0	0.00
Sphingobacteriales_Sphingobacteriaceae_84566	0	0	0.00
Aeromonadales_Aeromonadaceae_84642	0	0	0.00
Burkholderiales_Comamonadaceae_80864	0	0	0.01
Burkholderiales_Alcaligenaceae_506	0	0	0.00
Caulobacterales_Caulobacteraceae_76892	0	0	0.01
Rhizobiales_Phyllobacteriaceae_69277	0	0	0.00
Sphingomonadales_Sphingomonadaceae_41297	0	0	0.00
